tempo,space_world_positionX,space_world_positionY,space_world_positionZ,space_world_velocityX,space_world_velocityY,space_world_velocityZ,world_foward_directionX,world_foward_directionY,world_foward_directionZ,world_right_directionX,world_right_directionY,world_right_directionZ,g_force_lateral,g_force_longitudinal,g_force_vertical,yaw,pitch,roll
41.122,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.259,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.271,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.303,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.328,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.386,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.444,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.474,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.533,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.597,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.624,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.685,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.751,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.784,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.851,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.885,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.952,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
41.987,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.055,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.09,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.122,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.192,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.23,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.3,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.337,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.406,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.441,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.476,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.546,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.582,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.652,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.687,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.722,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.792,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.827,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.899,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
42.935,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.006,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.041,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.076,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.147,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.182,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.252,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.289,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.322,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.392,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.427,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.497,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.532,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.602,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.637,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.708,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.744,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.779,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
43.85,-448.9189147949219,61.1353759765625,474.4476318359375,0.0,0.0,0.0,-0.9649342326120792,-0.005920590838343455,0.26239814447462384,-0.26239814447462384,0.0008850367748039186,-0.9649342326120792,0.0,0.0,0.0,-1.30526864528656,0.005926728248596191,-0.0009016598924063146
